"Year","Stn Code","Sampling Date","State","City/Town/Village/Area","Latitude","Longitude","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10"
2010,618,"1/1/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",-1,-1,63
2010,149,"1/3/2010","Kerala","Cochin",9.95762,76.25115,"FACT Udyogmandal Ambalamughal Cochin","National Environmental Engineering Research Institute","Industrial Area",-1,-1,37
2010,621,"1/4/2010","Kerala","Kollam",8.89523,76.6698,"KSPCB District Office Kadappakada Kollam","Kerala State Pollution Control Board","Residential Rural and other Areas",-1,-1,98
2010,187,"1/4/2010","Kerala","Kottayam",9.591567,76.522156,"Kottayam","Kerala State Pollution Control Board","Residential Rural and other Areas",-1,-1,48.42
2010,360,"1/1/2010","Kerala","Kozhikode",11.25909,75.782,"Kozhikode City Kozhikode","Kerala State Pollution Control Board","Residential Rural and other Areas",-1,-1,42.33333333
2010,623,"1/1/2010","Kerala","Malappuram",11.051361,76.077977,"Kakkanchery near KINFRA Malappuram","Kerala State Pollution Control Board","Industrial Area",-1,-1,36.85896667
2010,311,"1/5/2010","Kerala","Palakkad",23.22418,77.39089,"M/S Carborandum Universal Ltd. P.B. NO. 1 KanjIkode West P.O. Palakad","Kerala State Pollution Control Board","Industrial Area",-1,-1,46.05
2010,419,"1/1/2010","Kerala","Trivandrum",8.49322,76.95808,"PRS Hospital Thiruvanathapuram","Kerala State Pollution Control Board","Sensitive Area",-1,-1,55
2015,624,"01-01-15","Kerala","Thissur",10.5352,76.2015,"KSPCB District Office Poonkunnam Thrissur","Kerala State Pollution Control Board","Residential Rural and other Areas",-1,-1,58
2010,618,"1/1/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,63
2010,618,"1/5/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,65
2010,618,"1/12/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,97
2010,618,"14-01-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,69
2010,618,"16-01-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,63
2010,618,"19-01-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,109
2010,618,"21-01-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,52
2010,618,"23-01-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,46
2010,618,"28-01-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,25
2010,618,"30-01-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,47
2010,618,"2/1/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,6,84
2010,618,"2/3/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,51
2010,618,"2/5/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,37
2010,618,"2/9/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,36
2010,618,"16-02-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,43
2010,618,"18-02-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,68
2010,618,"20-02-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,38
2010,618,"22-02-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,45
2010,618,"24-02-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,33
2010,618,"27-02-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,43
2010,618,"3/2/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,53
2010,618,"3/4/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,63
2010,618,"3/9/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,6,93
2010,618,"3/11/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,59
2010,618,"16-03-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,69
2010,618,"18-03-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,56
2010,618,"23-03-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,27
2010,618,"25-03-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,135
2010,618,"27-03-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,73
2010,618,"29-03-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,43
2010,618,"4/5/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,50
2010,618,"4/7/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,42
2010,618,"4/12/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,61
2010,618,"17-04-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,31
2010,618,"19-04-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,63
2010,618,"21-04-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,26
2010,618,"23-04-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,30
2010,618,"26-04-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,34
2010,618,"28-04-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,56
2010,618,"30-04-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,28
2010,618,"5/4/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,34
2010,618,"5/6/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,37
2010,618,"5/10/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,38
2010,618,"5/12/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,38
2010,618,"14-05-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,20
2010,618,"17-05-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,25
2010,618,"19-05-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,88
2010,618,"22-05-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,26
2010,618,"26-05-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,52
2010,618,"28-05-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,24
2010,618,"6/2/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,22
2010,618,"6/5/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,20
2010,618,"6/7/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,29
2010,618,"6/9/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,53
2010,618,"16-06-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,14
2010,618,"18-06-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,19
2010,618,"21-06-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,28
2010,618,"23-06-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,36
2010,618,"25-06-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,23
2010,618,"29-06-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,26
2010,618,"7/2/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,26
2010,618,"7/5/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,36
2010,618,"7/7/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,34
2010,618,"7/12/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,24
2010,618,"14-07-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,30
2010,618,"16-07-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,29
2010,618,"19-07-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,25
2010,618,"21-07-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,35
2010,618,"23-07-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,26
2010,618,"27-07-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,17
2010,618,"8/2/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,62
2010,618,"8/4/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,51
2010,618,"8/6/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,30
2010,618,"8/11/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,12
2010,618,"13-08-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,14
2010,618,"16-08-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,17
2010,618,"18-08-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,10
2010,618,"20-08-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,9
2010,618,"27-08-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,5
2010,618,"30-08-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,15
2010,618,"9/3/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,16
2010,618,"9/6/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,28
2010,618,"9/8/2010","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,30
2010,618,"13-09-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,44
2010,618,"15-09-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,13
2010,618,"17-09-10","Kerala","Alappuzha",9.4818,76.33411,"District Office Alissery Road Alappuzha","Kerala State Pollution Control Board","Residential Rural and other Areas",2,5,29
