"country","latitude","longitude","confirmed_cases","deaths","recovered","update_time","country_code","region"
"China",35.86166,104.195397,729,39,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,53,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,43,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,36,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,27,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,24,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,23,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,20,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,18,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,15,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,15,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,15,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,10,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,9,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,9,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,8,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,8,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,5,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,5,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,5,0,,"2020-01-24 14:55:00","CHN","Asia"
"Thailand",15.870032,100.992541,5,0,,"2020-01-24 14:55:00","THA","Asia"
"China",35.86166,104.195397,4,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,4,1,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,3,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,3,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,3,0,,"2020-01-24 14:55:00","CHN","Asia"
"Singapore",1.352083,103.819836,3,0,,"2020-01-24 14:55:00","SGP","Asia"
"France",46.227638,2.213749,3,0,,"2020-01-24 14:55:00","FRA","Europe"
"China",35.86166,104.195397,2,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,2,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,2,1,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,2,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,2,0,,"2020-01-24 14:55:00","CHN","Asia"
"Japan",36.204824,138.252924,2,0,,"2020-01-24 14:55:00","JPN","Asia"
"South Korea",35.907757,127.766922,2,0,,"2020-01-24 14:55:00","KOR","Asia"
"United States",37.09024,-95.712891,2,0,,"2020-01-24 14:55:00","USA","Americas"
"Vietnam",14.058324,108.277199,2,0,,"2020-01-24 14:55:00","VNM","Asia"
"China",35.86166,104.195397,1,0,,"2020-01-24 14:55:00","CHN","Asia"
"China",35.86166,104.195397,1,0,,"2020-01-24 14:55:00","CHN","Asia"
"Nepal",28.394857,84.124008,1,0,,"2020-01-24 14:55:00","NPL","Asia"
"China",35.86166,104.195397,1052,52,,"2020-01-25 17:05:00","CHN","Asia"
"China",35.86166,104.195397,78,0,,"2020-01-25 17:05:00","CHN","Asia"
"China",35.86166,104.195397,62,0,,"2020-01-25 17:05:00","CHN","Asia"
"China",35.86166,104.195397,57,0,,"2020-01-25 17:05:00","CHN","Asia"
"China",35.86166,104.195397,51,0,,"2020-01-25 17:05:00","CHN","Asia"
"China",35.86166,104.195397,43,0,,"2020-01-25 17:05:00","CHN","Asia"
"China",35.86166,104.195397,39,0,,"2020-01-25 17:05:00","CHN","Asia"
"China",35.86166,104.195397,36,0,,"2020-01-25 17:05:00","CHN","Asia"
"China",35.86166,104.195397,33,0,,"2020-01-25 17:05:00","CHN","Asia"
